timestamp,stockMarket,pair,side,price,liquidity
2025-05-30T10:11:20.074Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:11:20.434Z,Bybit,SOL/USDC,buy,162.72,5706.53857
2025-05-30T10:11:48.038Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:11:48.306Z,Bybit,SOL/USDC,buy,162.7,5708.65367
2025-05-30T10:11:53.151Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:11:58.239Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:03.335Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:08.399Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:13.507Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:18.633Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:23.784Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:24.295Z,Bybit,SOL/USDC,buy,162.72,5928.32567
2025-05-30T10:12:28.927Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:33.976Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:39.098Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:44.179Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:46.314Z,Bybit,SOL/USDC,buy,162.82,8481.30961
2025-05-30T10:12:49.276Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:54.421Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:12:59.489Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:04.532Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:09.307Z,Bybit,SOL/USDC,buy,162.67,9425.60896
2025-05-30T10:13:09.566Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:14.976Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:15.309Z,Bybit,SOL/USDC,buy,162.64,9897.59024
2025-05-30T10:13:20.103Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:24.308Z,Bybit,SOL/USDC,buy,162.64,9897.59024
2025-05-30T10:13:25.174Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:30.259Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:40.404Z,Bybit,SOL/USDC,buy,162.56,9902.6296
2025-05-30T10:13:41.183Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:46.366Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:51.459Z,Raydium,SOL/USDC,buy,163.0642584487519,13084834.05
2025-05-30T10:13:53.312Z,Bybit,SOL/USDC,buy,162.33,14110.24776
2025-05-30T10:13:54.308Z,Bybit,SOL/USDC,buy,162.37,15148.17845
2025-05-30T10:13:55.311Z,Bybit,SOL/USDC,buy,162.4,15619.46325
