timestamp,stockMarket,category,pair,price
2025-05-28T09:06:52.750Z,Bybit,inverse,AAVEUSD,
2025-05-28T09:06:52.750Z,Bybit,inverse,ADAUSD,
2025-05-28T09:06:52.750Z,Bybit,inverse,APTUSD,
2025-05-28T09:06:52.750Z,Bybit,inverse,AVAXUSD,
2025-05-28T09:06:52.750Z,Bybit,inverse,BCHUSD,
2025-05-28T09:06:52.750Z,Bybit,inverse,BTCUSD,
2025-05-28T09:06:52.750Z,Bybit,inverse,BTCUSDM25,
2025-05-28T09:06:52.751Z,Bybit,inverse,BTCUSDU25,
2025-05-28T09:06:52.751Z,Bybit,inverse,DOGEUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,DOTUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,ETCUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,ETHUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,ETHUSDM25,
2025-05-28T09:06:52.751Z,Bybit,inverse,ETHUSDU25,
2025-05-28T09:06:52.751Z,Bybit,inverse,FILUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,LINKUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,LTCUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,MANAUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,MNTUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,NEARUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,OPUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,SOLUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,SUIUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,TONUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,UNIUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,WIFUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,XLMUSD,
2025-05-28T09:06:52.751Z,Bybit,inverse,XRPUSD,
